centroid_idx,n,mean,median,std,min,max
2043,4,6.805,6.75,0.8558475331506188,5.69,8.03
1974,4,5.7175,5.65,0.4965065457775962,5.09,6.48
1596,4,7.13,7.21,0.8595929269136643,6.1,8.0
1644,4,8.0425,8.120000000000001,0.24293774922806866,7.64,8.29
1961,4,6.2425,6.3100000000000005,0.5357879711229061,5.43,6.92
2747,4,5.8525,5.83,0.10732543966832843,5.75,6.0
2126,4,8.61,8.61,0.08999999999999986,8.52,8.7
2859,4,8.2925,8.185,0.2390998745294523,8.1,8.7
594,4,7.3775,7.365,0.35674745969663185,6.89,7.89
3061,4,8.0625,8.059999999999999,0.05717298313014656,7.99,8.14
1558,4,6.8725,6.765,0.38989581941846996,6.51,7.45
956,4,5.2775,5.115,0.39442204552991184,4.95,5.93
1189,4,6.0175,5.885,0.6766230486762923,5.22,7.08
2592,4,7.54,7.475,0.2252776065213763,7.3,7.91
2489,4,8.75,8.59,0.5555627777308338,8.22,9.6
2029,4,6.9625,7.045,0.5266580959218229,6.19,7.57
2492,4,8.5675,8.3,0.463323591024674,8.3,9.37
3296,4,8.2075,8.215,0.20607947496051118,7.96,8.44
754,3,6.243333333333333,6.41,0.35490217744549785,5.75,6.57
1064,3,6.493333333333333,6.52,0.4249967320135794,5.96,7.0
92,3,7.236666666666667,7.36,0.2638602323621775,6.87,7.48
1218,3,6.88,6.86,0.45745673748089744,6.33,7.45
1151,3,6.826666666666667,6.83,0.17556258776351577,6.61,7.04
1159,3,7.213333333333334,7.39,0.36881190629129923,6.7,7.55
57,3,6.926666666666667,7.29,0.5786382481501047,6.11,7.38
833,3,5.636666666666667,5.71,0.26637484032009384,5.28,5.92
1041,3,6.096666666666667,6.11,0.4654985380094004,5.52,6.66
1069,3,5.323333333333334,5.19,0.33209770985191833,5.0,5.78
895,3,5.04,5.03,0.014142135623730649,5.03,5.06
2587,3,5.3566666666666665,5.38,0.4126607430915725,4.84,5.85
180,3,7.803333333333334,8.0,1.0664687316351829,6.41,9.0
227,3,6.71,6.92,0.5001999600159923,6.02,7.19
837,3,6.096666666666667,6.31,0.3671814568060623,5.58,6.4
2465,3,6.146666666666666,6.17,0.040276819911981884,6.09,6.18
1243,3,6.363333333333333,6.33,0.15691469727919757,6.19,6.57
1904,3,7.346666666666667,7.33,0.08653836657164778,7.25,7.46
2007,3,7.510000000000001,7.53,0.07483314773547874,7.41,7.59
2009,3,7.873333333333334,7.72,0.2604269997949949,7.66,8.24
2276,3,8.583333333333334,8.58,0.04496912521077396,8.53,8.64
2312,3,6.82,7.08,0.6315589178110514,5.95,7.43
2404,3,6.68,6.8,0.20607442021431643,6.39,6.85
2405,3,9.03,9.05,0.05099019513592757,8.96,9.08
2416,3,5.263333333333333,5.39,0.21545816814923088,4.96,5.44
2503,3,8.306666666666667,8.2,0.2407396011369042,8.08,8.64
2584,3,6.396666666666667,6.55,0.6058235900179376,5.59,7.05
2659,3,9.32,9.37,0.07071067811865407,9.22,9.37
1884,3,7.343333333333334,7.44,0.3376717669901089,6.89,7.7
1595,3,7.8066666666666675,7.8,0.009428090415820852,7.8,7.82
1324,3,6.766666666666667,7.0,0.32998316455372223,6.3,7.0
1574,3,8.04,8.2,0.2405549140355828,7.7,8.22
3088,3,7.8933333333333335,8.13,0.40745824598628794,7.32,8.23
3108,3,5.303333333333334,5.11,0.3167894498804459,5.05,5.75
1861,3,6.363333333333333,6.13,0.4555094827650561,5.96,7.0
119,3,6.443333333333334,6.45,0.016996731711975993,6.42,6.46
492,3,6.916666666666667,6.85,0.09428090415820642,6.85,7.05
410,3,6.81,6.7,0.7024243731534378,6.01,7.72
3184,3,6.796666666666667,6.72,0.20725722075613096,6.59,7.08
347,3,6.19,6.3,0.3238312317653542,5.75,6.52
2102,3,7.989999999999999,7.97,0.11518101695447344,7.86,8.14
2579,3,8.466666666666667,8.5,0.047140452079103,8.4,8.5
2434,3,6.973333333333334,6.98,0.032998316455372295,6.93,7.01
1016,3,6.8933333333333335,6.66,0.4327688631231329,6.52,7.5
931,3,7.533333333333332,7.54,0.009428090415820852,7.52,7.54
1926,3,7.37,7.38,0.02943920288775957,7.33,7.4
2130,3,9.01,8.77,0.44966654311834287,8.62,9.64
1901,3,7.073333333333333,7.05,0.14383632673594265,6.91,7.26
3287,3,8.143333333333333,8.28,0.28241026106633516,7.75,8.4
1042,3,6.216666666666666,5.81,0.669145391940762,5.68,7.16
1856,3,6.733333333333333,6.56,0.402850951207626,6.35,7.29
765,2,6.8100000000000005,6.8100000000000005,0.4099999999999997,6.4,7.22
233,2,6.220000000000001,6.220000000000001,1.2200000000000002,5.0,7.44
279,2,6.635,6.635,0.46499999999999986,6.17,7.1
461,2,8.52,8.52,0.0,8.52,8.52
2311,2,5.85,5.85,0.25,5.6,6.1
2594,2,7.99,7.99,0.16999999999999993,7.82,8.16
2596,2,8.3,8.3,0.03000000000000025,8.27,8.33
112,2,7.335,7.335,0.5149999999999997,6.82,7.85
2930,2,7.5649999999999995,7.5649999999999995,0.06499999999999995,7.5,7.63
2314,2,7.4350000000000005,7.4350000000000005,0.0050000000000003375,7.43,7.44
2381,2,6.84,6.84,1.5,5.34,8.34
2409,2,7.6,7.6,0.0,7.6,7.6
2495,2,8.46,8.46,0.05999999999999961,8.4,8.52
784,2,7.609999999999999,7.609999999999999,0.2799999999999998,7.33,7.89
269,2,8.01,8.01,0.08999999999999986,7.92,8.1
2803,2,5.43,5.43,0.020000000000000018,5.41,5.45
2033,2,7.01,7.01,0.0,7.01,7.01
2004,2,7.51,7.51,0.1499999999999999,7.36,7.66
2088,2,6.824999999999999,6.824999999999999,0.02499999999999991,6.8,6.85
1357,2,5.654999999999999,5.654999999999999,0.13500000000000023,5.52,5.79
1874,2,7.6,7.6,0.0,7.6,7.6
1872,2,7.43,7.43,0.3900000000000002,7.04,7.82
3000,2,7.365,7.365,0.125,7.24,7.49
1365,2,6.11,6.11,0.1200000000000001,5.99,6.23
2262,2,6.99,6.99,0.0,6.99,6.99
2860,2,7.855,7.855,0.0349999999999997,7.82,7.89
3280,2,8.115,8.115,0.03500000000000014,8.08,8.15
3125,2,6.029999999999999,6.029999999999999,0.06999999999999984,5.96,6.1
617,2,8.125,8.125,0.27500000000000036,7.85,8.4
914,2,7.535,7.535,0.4249999999999998,7.11,7.96
